"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",0.056359809647022,0.0433052930767895,0.193200449038287,-0.028550275269648,0.141269894563692
"lez_active",0.249904523542414,0.0397853325518504,3.82769457480783e-10,0.171896138760782,0.327912908324047
"cp_x_lez",-0.565161332043806,0.0642290876904628,2.24915562797731e-18,-0.691097375941417,-0.439225288146196
"cp_x_log_population",-0.230025993923276,0.0436302262409591,1.44100491014335e-07,-0.315573185775418,-0.144478802071133
"cp_x_log_gdp_pc",-0.639795478627494,0.102081993839254,4.17949342012488e-10,-0.839950936529238,-0.43964002072575
"cp_x_log_pop_density",-0.103656789595808,0.0409606911626722,0.0114347030442085,-0.183969737916024,-0.023343841275592
"cp_x_public_transit_score",-0.0241386459075148,0.00407830187884056,3.59901167063576e-09,-0.0321351039440445,-0.0161421878709851
"cp_x_political_green",-0.838692283683451,0.388238760998265,0.0308300986343867,-1.5999245447341,-0.0774600226328027
"cp_x_fuel_price",-2.72480395588402,0.360018999836407,4.95297719325188e-14,-3.43070482101657,-2.01890309075148
"cp_x_tourism_intensity",-0.0136170300644737,0.0390020909622026,0.727011084175333,-0.0900896877983913,0.0628556276694439
"cp_x_industry_logistics",-0.801624310380781,0.185101024614179,1.53338237820418e-05,-1.16455785964191,-0.438690761119652
"cp_x_coastal",-0.051866676972687,0.0547989361886511,0.343972455573354,-0.159312718657957,0.055579364712583
"lez_x_log_population",0.168295848762428,0.044682867455648,0.000168672361894915,0.0806847093284609,0.255906988196394
"lez_x_log_gdp_pc",0.0682218604938985,0.121078582028337,0.573168645550178,-0.169180820591439,0.305624541579236
"lez_x_log_pop_density",-0.10812730456462,0.0447116237799005,0.0156495568430216,-0.195794827451063,-0.0204597816781767
"lez_x_public_transit_score",-0.0101024491649893,0.00429260692171598,0.0186622942547924,-0.0185191020113395,-0.00168579631863913
"lez_x_political_green",-1.39176127232564,0.452703400032819,0.00212816948305935,-2.2793914303918,-0.504131114259487
"lez_x_fuel_price",-1.60187150995818,0.406076050826433,8.16569821257087e-05,-2.39807792050384,-0.805665099412522
"lez_x_tourism_intensity",-0.0204751645850656,0.0420965719648696,0.626728333119313,-0.103015271031166,0.0620649418610351
"lez_x_industry_logistics",-0.0700197909166884,0.196327345018901,0.721379560590431,-0.454965148692226,0.31492556685885
"lez_x_coastal",0.0390642036202234,0.058160893752569,0.501851955307669,-0.0749737366981379,0.153102143938585
