"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",-0.170159636895294,0.0951820791625816,0.0738199547921362,-0.356713084027594,0.0163938102370063
"lez_active",0.288058889783319,0.0739673213801632,9.84390536006065e-05,0.1430856038453,0.433032175721338
"cp_x_lez",-0.935317797277556,0.182397383009121,2.92972739124975e-07,-1.29281009884979,-0.577825495705321
"cp_pre",0.328341978002921,0.102488614619858,0.00135677432168815,0.127467984522594,0.529215971483248
"lez_pre",0.394112630684251,0.0900272642811904,1.19936599050339e-05,0.217662435066449,0.570562826302053
