"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",-0.141522407450899,0.0715965250132812,0.0480794110554804,-0.281849017895152,-0.0011957970066471
"lez_active",-0.00146406481550371,0.0423682272605954,0.972434006623364,-0.0845042643350788,0.0815761347040713
"cp_x_lez",-1.04322278659657,0.171517563426795,1.18464121363186e-09,-1.37939103362915,-0.707054539563987
"cp_pre",0.255773622195438,0.0948510956931984,0.00700554466943732,0.0698688907426074,0.441678353648269
"lez_pre",0.110676349940204,0.0690014920791163,0.108720580235393,-0.0245640894143903,0.245916789294797
