"term","estimate","std.error","p.value","conf.low","conf.high","spec"
"cp_active",-0.187215875810981,0.0657759014765824,0.00442348808476051,-0.316134273755737,-0.0582974778662245,"rlasso (baseline)"
"lez_active",-0.00783899483478493,0.0405209349390351,0.846602309476326,-0.0872585679351845,0.0715805782656146,"rlasso (baseline)"
"cp_x_lez",-1.05641857972845,0.17149939086481,7.27922834302661e-10,-1.39255120919403,-0.720285950262863,"rlasso (baseline)"
"cp_active",-0.200375399615452,0.0669023369217956,0.00274405835651855,-0.331501570463736,-0.0692492287671686,"CV ridge (1se)"
"lez_active",-0.00917752522058867,0.0542299428876383,0.865612948984726,-0.115466260164024,0.0971112097228465,"CV ridge (1se)"
"cp_x_lez",-1.14353063665436,0.160379093068861,1.00243046327984e-12,-1.45786788294252,-0.829193390366194,"CV ridge (1se)"
"cp_active",-0.405572165584159,0.0487753996011179,9.16774663592612e-17,-0.501170192133899,-0.309974139034418,"random forest"
"lez_active",-0.272102151552221,0.0621364238843362,1.19165710405113e-05,-0.393887304493634,-0.150316998610808,"random forest"
"cp_x_lez",-1.00280130833019,0.170954395273428,4.46704215273785e-09,-1.33786576606493,-0.667736850595448,"random forest"
"cp_active",-0.197938438380971,0.0622095916990466,0.00146363180878253,-0.319866997604045,-0.0760098791578981,"minimal controls"
"lez_active",-0.0489002017170697,0.0375480069817324,0.192800817749831,-0.122492943092524,0.0246925396583843,"minimal controls"
"cp_x_lez",-1.06196426369507,0.197981037637664,8.14126198066123e-08,-1.44999996708676,-0.673928560303382,"minimal controls"
"cp_active",-0.176177736874989,0.0658616012284482,0.00747361763776762,-0.305264103246886,-0.0470913705030914,"with added mediators"
"lez_active",0.0183315716590335,0.0480913530182251,0.703067995813424,-0.0759257482244892,0.112588891542556,"with added mediators"
"cp_x_lez",-0.940176609154266,0.172860027926182,5.35962573813283e-08,-1.27897603825617,-0.601377180052361,"with added mediators"
