"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",-0.0077103426392428,0.112357041078801,0.945289247266992,-0.227926096563179,0.212505411284694
"lez_active",0.294662891194479,0.0791157963102155,0.000195740877090052,0.139598779818249,0.449727002570708
"cp_x_lez",-0.528900055939259,0.168128602621901,0.00165629530339029,-0.858426061849232,-0.199374050029286
"cp_x_log_population",-0.203897641314103,0.159587467707626,0.201371285893768,-0.516683330404999,0.108888047776794
"cp_x_log_gdp_pc",-0.624886459783096,0.290507410749397,0.0314748359880681,-1.1942705220939,-0.0555023974722936
"cp_x_log_pop_density",-0.205548081081482,0.100834065152695,0.0415020956319779,-0.403179217195531,-0.00791694496743411
"cp_x_public_transit_score",-0.0279610761082626,0.0108832631710009,0.0101939112699916,-0.0492918799576954,-0.0066302722588297
"cp_x_political_green",-1.37656738729311,1.59982382766445,0.389541387196489,-4.51216447112444,1.75902969653823
"cp_x_fuel_price",-3.12387944231732,0.955973396275041,0.00108407127953369,-4.99755286919484,-1.2502060154398
"cp_x_tourism_intensity",-0.000692617240543116,0.112553107443339,0.995090094555977,-0.221292654177555,0.219907419696469
"cp_x_industry_logistics",-0.662890952828972,0.562363670473662,0.238494356484741,-1.7651034931711,0.439321587513157
"cp_x_coastal",-0.00951735242531268,0.154426474033534,0.950857233983275,-0.312187679790548,0.293152974939923
"lez_x_log_population",0.142439443662951,0.147905786238723,0.335526583959405,-0.147450570470026,0.432329457795927
"lez_x_log_gdp_pc",-0.153730405411014,0.343437299111047,0.654425361509209,-0.826855142616377,0.519394331794349
"lez_x_log_pop_density",-0.14831477657651,0.106397362461623,0.163326535734939,-0.356849775051344,0.0602202218983242
"lez_x_public_transit_score",-0.011709091670097,0.0103257992577513,0.256809363121227,-0.03194728632688,0.00852910298668589
"lez_x_political_green",-1.21734434480632,2.22177842098358,0.583750694814211,-5.57195003156241,3.13726134194977
"lez_x_fuel_price",-0.965668062899457,1.64303349568783,0.556710272526403,-4.18595453984054,2.25461841404163
"lez_x_tourism_intensity",-0.0279540875739156,0.102759589839024,0.785595986484186,-0.229359182724511,0.17345100757668
"lez_x_industry_logistics",-0.438993128312697,0.676371756081134,0.516311753893381,-1.76465741039183,0.886671153766437
"lez_x_coastal",-0.0113455141860441,0.129621365949092,0.930251736433597,-0.26539872307315,0.242707694701062
