"term","estimate","std.error","p.value","conf.low","conf.high","spec"
"cp_active",-0.179565358978117,0.0942109934171847,0.0566512997665,-0.364215513023539,0.00508479506730533,"plugin lasso, hdm rlasso (baseline)"
"lez_active",0.288958153668377,0.0733794335114707,8.22105192019268e-05,0.145137106779943,0.432779200556811,"plugin lasso, hdm rlasso (baseline)"
"cp_x_lez",-0.943775636475567,0.185018202352621,3.37884925152541e-07,-1.30640464957105,-0.581146623380086,"plugin lasso, hdm rlasso (baseline)"
"cp_active",-0.169163165287569,0.137712767856854,0.219305563223122,-0.439075230498329,0.10074889992319,"CV lasso, lambda.1se"
"lez_active",0.460210841809377,0.127188894511725,0.000296515129510906,0.210925189332931,0.709496494285823,"CV lasso, lambda.1se"
"cp_x_lez",-1.11083793364207,0.194172933473437,1.05980531957503e-08,-1.4914098900225,-0.730265977261646,"CV lasso, lambda.1se"
"cp_active",-0.154192468062093,0.131930038376711,0.2425067053298,-0.412770591759434,0.104385655635248,"CV lasso, lambda.min"
"lez_active",0.384261493954654,0.125949100768991,0.00228136143829704,0.137405792562226,0.631117195347082,"CV lasso, lambda.min"
"cp_x_lez",-0.959688503573945,0.183442990794303,1.68107816180891e-07,-1.31923015874709,-0.600146848400798,"CV lasso, lambda.min"
"cp_active",-0.170802351927861,0.0971724651151728,0.0787945209796084,-0.361256883842574,0.0196521799868527,"ridge, lambda.1se"
"lez_active",0.375054199451627,0.0832985518419486,6.71493832831127e-06,0.211792037877065,0.538316361026188,"ridge, lambda.1se"
"cp_x_lez",-0.896170853702019,0.182459565139017,9.03299990125773e-07,-1.25378503000933,-0.538556677394706,"ridge, lambda.1se"
"cp_active",-0.351760759496311,0.103022445160237,0.00063920552353796,-0.553681041609629,-0.149840477382993,"random forest"
"lez_active",0.168830918958694,0.0950432234219938,0.0756737060191977,-0.0174503759230074,0.355112213840396,"random forest"
"cp_x_lez",-0.797884508165158,0.28891175326251,0.00575031646280624,-1.36414113927,-0.231627877060317,"random forest"
"cp_active",-0.237667703804752,0.0880811942704098,0.00696988398129779,-0.410303672290031,-0.0650317353194726,"minimal controls (main effects only)"
"lez_active",0.302541153327508,0.0721332794727455,2.73840440482569e-05,0.161162523474165,0.443919783180852,"minimal controls (main effects only)"
"cp_x_lez",-0.913914747661278,0.208075648679943,1.12197287856185e-05,-1.32173552513377,-0.506093970188781,"minimal controls (main effects only)"
"cp_active",-0.216762252188078,0.0812414404360985,0.00762760586594602,-0.375992549494987,-0.0575319548811691,"+ mediators (pm25, fleet shares) [bad controls]"
"lez_active",0.143632543417391,0.0646833777897573,0.0263815930102111,0.0168554525510687,0.270409634283713,"+ mediators (pm25, fleet shares) [bad controls]"
"cp_x_lez",-0.994438391397217,0.186262414380774,9.3506699704003e-08,-1.35950601525701,-0.629370767537423,"+ mediators (pm25, fleet shares) [bad controls]"
"cp_active",-0.196015617521853,0.10839029145973,0.0705405166500656,-0.408456685056723,0.0164254500130163,"cross-fitting: 2 folds"
"lez_active",0.368584745682887,0.0849942377871974,1.44713410585234e-05,0.201999100726547,0.535170390639227,"cross-fitting: 2 folds"
"cp_x_lez",-1.1606085494866,0.226845566897994,3.11597709312256e-07,-1.60521769065924,-0.715999408313962,"cross-fitting: 2 folds"
"cp_active",-0.182810981665874,0.0907637629490865,0.0439947720060556,-0.360704688147415,-0.00491727518433377,"cross-fitting: 10 folds"
"lez_active",0.286413081579616,0.071550473413922,6.25571052759252e-05,0.146176730611538,0.426649432547694,"cross-fitting: 10 folds"
"cp_x_lez",-0.950693099738001,0.188637580716498,4.66051889533448e-07,-1.3204159640731,-0.580970235402897,"cross-fitting: 10 folds"
