"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",0.209067098628523,0.0937193973347369,0.0256958882117841,0.0253804551996394,0.392753742057406
"lez_active",-0.0023473655698042,0.0473295392382803,0.960444170223635,-0.0951115578817089,0.0904168267421005
"cp_x_lez",-0.783066287631427,0.123495188349016,2.28479043276199e-10,-1.02511240905949,-0.541020166203365
"cp_x_log_population",0.0541144139151647,0.103023769462411,0.599401456287272,-0.147808463782718,0.256037291613048
"cp_x_log_gdp_pc",-0.420499564742287,0.212175832678269,0.0474966167425469,-0.836356555181492,-0.00464257430308307
"cp_x_log_pop_density",-0.315301862848995,0.100477048975927,0.00170076674781766,-0.51223326011468,-0.118370465583311
"cp_x_public_transit_score",-0.018209070607542,0.0088043622022687,0.0386224085082932,-0.0354653034308344,-0.00095283778424958
"cp_x_political_green",-1.46034731461409,0.942171433986674,0.1211462055264,-3.30696939249043,0.386274763262247
"cp_x_fuel_price",-3.86163118952895,0.734916144709839,1.48411447833702e-07,-5.30204036481726,-2.42122201424063
"cp_x_log_tourism_intensity",-0.260237227371461,0.333438836800663,0.435117422993792,-0.913765338547689,0.393290883804767
"cp_x_logistics_activity",-0.00704418742914225,0.00447418323109976,0.11539328168921,-0.0158134254223308,0.00172505056404631
"cp_x_coastal",-0.0532371783345095,0.105908602323154,0.615195633242717,-0.260814224540866,0.154339867871847
"lez_x_log_population",-0.0653733177599109,0.109064082415003,0.548904301815651,-0.279134991300226,0.148388355780404
"lez_x_log_gdp_pc",-0.313232603023376,0.279506936726784,0.262432067353935,-0.861056132436988,0.234590926390236
"lez_x_log_pop_density",-0.159130718476664,0.12264248429746,0.194453331163061,-0.399505570674205,0.0812441337208777
"lez_x_public_transit_score",-0.00548337445711847,0.00943607197187736,0.561167842518063,-0.0239777356775259,0.013010986763289
"lez_x_political_green",-2.38557479839538,1.60479672561411,0.137139593498619,-5.53091858310685,0.759768986316077
"lez_x_fuel_price",-1.68276868515313,1.09188036601886,0.123276437120771,-3.82281487797651,0.457277507670244
"lez_x_log_tourism_intensity",-0.271882521796357,0.319118249028409,0.39422492132773,-0.897342796701522,0.353577753108808
"lez_x_logistics_activity",-0.000834350338385302,0.00383196525028041,0.827636123609216,-0.00834486421894392,0.00667616354217331
"lez_x_coastal",0.0712376231611394,0.0910253541497278,0.433854420148055,-0.107168792652331,0.249644038974609
