"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",0.179650296977653,0.0854342330768115,0.0354840834645285,0.0122022771003018,0.347098316855004
"lez_active",-0.00348499452588921,0.0511614888921055,0.945692071622468,-0.103759670149862,0.0967896810980835
"cp_x_lez",-0.79529034001165,0.119726112609537,3.08238229733391e-11,-1.02994920873533,-0.560631471287971
"cp_x_unemployment",0.0314134945412945,0.0911837623799027,0.730464619375288,-0.147303395698173,0.210130384780762
"cp_x_education_share",0.0183215080830564,0.0292920295962405,0.531657651980769,-0.0390898149596563,0.0757328311257691
"cp_x_public_transit_score",-0.0187350456291163,0.00885108994772867,0.0342858586012056,-0.036082863150589,-0.00138722810764359
"cp_x_road_km_pc",-0.161504258697069,0.14328480341859,0.259676728183876,-0.442337312929407,0.119328795535269
"cp_x_tourism_intensity",-0.0721295771524817,0.10041849942601,0.472578659281271,-0.268946219409017,0.124687065104053
"cp_x_logistics_activity",-0.00608878020408162,0.00430824335335522,0.157571635872483,-0.0145327820132919,0.00235522160512868
"cp_x_political_green",0.800218413974351,0.981970384991057,0.415123287941907,-1.12440817449305,2.72484500244175
"cp_x_fiscal_capacity",-0.696327487984285,0.514728865036422,0.176118117696949,-1.70517752525885,0.31252254929028
"cp_x_electoral_competitiveness",-0.497228635425081,0.613618828402824,0.417755322377773,-1.69989943933028,0.705442168480117
"cp_x_ngo_environment_index",0.0019331613666734,0.00305224073393633,0.526499825716428,-0.00404912054398791,0.00791544327733472
"cp_x_national_climate_pact",-0.308446515053394,0.15702696828419,0.0494964622053856,-0.616213717491921,-0.000679312614867866
"cp_x_electricity_price",-0.00434641598347334,0.00136569256288307,0.00145972821490086,-0.00702312422067836,-0.00166970774626831
"cp_x_fuel_price",-1.51852477810356,0.894822634375309,0.0896943855720301,-3.27234491403042,0.235295357823297
"cp_x_temp_anomaly",-0.108893503951307,0.0877493752658128,0.214620360757274,-0.28087911913819,0.0630921112355763
"cp_x_precip",-0.000350581397409541,0.0004762485138632,0.461650847485314,-0.00128401133227214,0.000582848537453056
"cp_x_heating_degree_days",-0.000247669678137673,0.000242122183466909,0.306349472389698,-0.000722220437591014,0.000226881081315667
"cp_x_renewable_electricity_share",-0.0264025926215485,0.010931766022781,0.015725815985166,-0.0478284603136179,-0.00497672492947908
"cp_x_industry_manufacturing",-0.329086524371111,0.544186594429132,0.54535772125913,-1.39567265032171,0.737499601579492
"cp_x_industry_services",-1.02136994106878,0.527465468220315,0.0528220222779182,-2.05518326186915,0.0124433797315939
"cp_x_industry_logistics",-1.01472018559015,0.700221869915461,0.147298224181666,-2.38712983181175,0.35768946063144
"cp_x_elevation",0.000238743101951384,0.000350781598067061,0.496122558612972,-0.00044877619669946,0.000926262400602229
"cp_x_coastal",-0.0679535889110348,0.100316709074785,0.498158204064521,-0.264570725745196,0.128663547923126
"cp_x_latitude_zone2",-0.00746115037635664,0.169084871519039,0.964803443097991,-0.338861408884255,0.323939108131542
"cp_x_latitude_zone3",-0.049609808201287,0.210566114488486,0.813741482687739,-0.462311808963257,0.363092192560683
"cp_x_museum_visitors_pc",-0.0646876565567534,0.0377945825610584,0.0869779762356078,-0.138763677187153,0.0093883640736466
"cp_x_library_count",0.0494461631006558,0.0907342610995032,0.585783907799953,-0.128389720818224,0.227282047019536
"cp_x_streetlight_density",0.00802192961422658,0.00548527990923777,0.143618834496393,-0.00272902145300058,0.0187728806814537
"cp_x_fountain_count",-0.0376894223134368,0.0289569406158667,0.193064163551122,-0.0944439830230006,0.0190651383961269
"cp_x_bench_count_pc",-0.013799094344712,0.0216745314943032,0.524352732577138,-0.0562803954553255,0.0286822067659014
"cp_x_flagpole_count",0.0334150853154078,0.0274490849991968,0.223471885982966,-0.0203841326915967,0.0872143033224123
"cp_x_sister_city_count",0.0202530839111906,0.019680819393801,0.303443365849839,-0.0183206132868968,0.058826781109278
