"term","estimate","std.error","p.value","conf.low","conf.high"
"cp_active",0.0877622938996692,0.113126016443809,0.437871623730539,-0.133960624044682,0.309485211844021
"lez_active",0.299348830460647,0.0791165546204903,0.000154549206730844,0.14428323282359,0.454414428097704
"cp_x_lez",-0.57807372711817,0.179813088139167,0.00130508603901197,-0.930500903819864,-0.225646550416476
"cp_x_log_population",-0.179391345823429,0.151804903637184,0.237315629935033,-0.476923489628882,0.118140797982024
"cp_x_log_gdp_pc",-0.649974769621457,0.261617760780844,0.0129753784170722,-1.16273615846793,-0.137213380774987
"cp_x_log_pop_density",-0.160562310697672,0.100888885770054,0.111502335676929,-0.358300893247354,0.0371762718520104
"cp_x_public_transit_score",-0.0295429260931571,0.0108838913419381,0.00664016257371481,-0.050874961135003,-0.00821089105131117
"cp_x_political_green",-1.26525315490287,1.48146233914822,0.393073454847022,-4.16886598408583,1.6383596742801
"cp_x_fuel_price",-2.81597063829705,1.00884447087105,0.0052499512582535,-4.79326946720668,-0.838671809387414
"cp_x_tourism_intensity",0.0366593141478886,0.113623819747137,0.746969730325767,-0.186039280342371,0.259357908638149
"cp_x_industry_logistics",-0.532410895889142,0.593872091310207,0.369981675801633,-1.69637880628063,0.631557014502346
"cp_x_coastal",0.0211906958042762,0.153594914809039,0.890268215885232,-0.279849805429938,0.322231197038491
"lez_x_log_population",0.0317014591449423,0.162432393765035,0.845262134612754,-0.286660182557154,0.350063100847039
"lez_x_log_gdp_pc",-0.287094151269391,0.370636036491227,0.438576890745491,-1.01352743416487,0.439339131626087
"lez_x_log_pop_density",-0.18734706952463,0.106436478634469,0.0783777560323175,-0.395958734289456,0.0212645952401949
"lez_x_public_transit_score",-0.0122548454365121,0.0116345047253423,0.292194791947943,-0.035058055676144,0.0105483648031198
"lez_x_political_green",-1.23067298868443,2.30094741380616,0.592750199727713,-5.74044705006508,3.27910107269623
"lez_x_fuel_price",-0.576403934083415,1.64328545358135,0.72576606674381,-3.79718423942143,2.6443763712546
"lez_x_tourism_intensity",0.0571031912531288,0.107801632377267,0.596315660096838,-0.154184125680941,0.268390508187198
"lez_x_industry_logistics",-0.828754627279477,0.708167863144734,0.24188834157286,-2.21673813405185,0.55922887949289
"lez_x_coastal",0.0732054388568322,0.129771966692557,0.572680454196077,-0.18114294206351,0.327553819777175
