"term","estimate","std.error","p.value","conf.low","conf.high","spec"
"cp_active",-0.15144296697098,0.0927543258699398,0.102525349239136,-0.333238105086353,0.0303521711443943,"plugin lasso, hdm rlasso (baseline)"
"lez_active",0.313007192368199,0.0734009651108124,2.00487581184118e-05,0.169143944320526,0.456870440415873,"plugin lasso, hdm rlasso (baseline)"
"cp_x_lez",-0.944557978500652,0.195663866977601,1.38290819652993e-06,-1.32805211085259,-0.561063846148718,"plugin lasso, hdm rlasso (baseline)"
"cp_active",-0.134827193658003,0.134513294480645,0.316182503550287,-0.398468406281897,0.128814018965892,"CV lasso, lambda.1se"
"lez_active",0.352903290262332,0.109462507592227,0.00126428863195987,0.138360717724124,0.567445862800539,"CV lasso, lambda.1se"
"cp_x_lez",-1.07058056452615,0.200894484880145,9.87175092839839e-08,-1.46432651958396,-0.676834609468341,"CV lasso, lambda.1se"
"cp_active",-0.101736828237111,0.125324023185496,0.416911960414595,-0.347367400078345,0.143893743604124,"CV lasso, lambda.min"
"lez_active",0.237394143339873,0.107318957833008,0.0269636978902586,0.0270528511288056,0.447735435550941,"CV lasso, lambda.min"
"cp_x_lez",-0.932156446148753,0.178578023117349,1.79035879804044e-07,-1.28216293988912,-0.582149952408387,"CV lasso, lambda.min"
"cp_active",-0.0817452674945175,0.100279035431723,0.414970406370077,-0.278288565345111,0.114798030356076,"ridge, lambda.1se"
"lez_active",0.408675088236465,0.0835946798358364,1.01468421011214e-06,0.244832526459069,0.572517650013861,"ridge, lambda.1se"
"cp_x_lez",-0.996338038486353,0.202998025939997,9.19550488999313e-07,-1.39420685826148,-0.598469218711231,"ridge, lambda.1se"
"cp_active",-0.351247420569536,0.102872648062826,0.000639248185320524,-0.552874105766938,-0.149620735372134,"random forest"
"lez_active",0.181339240795352,0.0956675852337106,0.0580243475634882,-0.00616578075063673,0.36884426234134,"random forest"
"cp_x_lez",-0.862852307629512,0.28549182401489,0.00250831696601479,-1.42240600057934,-0.303298614679682,"random forest"
"cp_active",-0.23842033902146,0.0880812118417444,0.00679302579968198,-0.411056341945922,-0.0657843360969977,"minimal controls (main effects only)"
"lez_active",0.304371865805777,0.0709643283956266,1.79412649188728e-05,0.165284337963276,0.443459393648279,"minimal controls (main effects only)"
"cp_x_lez",-0.920501395595887,0.214945672763996,1.84818459892494e-05,-1.34178717284605,-0.499215618345723,"minimal controls (main effects only)"
"cp_active",-0.202425200477939,0.0856116263637857,0.0180564144585894,-0.370220904808859,-0.0346294961470192,"+ mediators (pm25, fleet shares) [bad controls]"
"lez_active",0.182147512350097,0.0665728198061689,0.00621788842238277,0.0516671831807314,0.312627841519463,"+ mediators (pm25, fleet shares) [bad controls]"
"cp_x_lez",-1.03362550119071,0.199188053195897,2.11205979194997e-07,-1.42402691160531,-0.643224090776102,"+ mediators (pm25, fleet shares) [bad controls]"
"cp_active",-0.180925309003689,0.0992632740771065,0.0683516809178528,-0.375477751182346,0.0136271331749684,"cross-fitting: 2 folds"
"lez_active",0.323451141078721,0.0748276477242961,1.54190398749042e-05,0.17679164649125,0.470110635666192,"cross-fitting: 2 folds"
"cp_x_lez",-1.0193486900543,0.204096950964486,5.90086580802483e-07,-1.41937136329913,-0.61932601680947,"cross-fitting: 2 folds"
"cp_active",-0.157617367802662,0.0907828677120874,0.0825281796180483,-0.335548518931618,0.0203137833262931,"cross-fitting: 10 folds"
"lez_active",0.324204099408719,0.0716049886836271,5.96362778746385e-06,0.183860900475412,0.464547298342026,"cross-fitting: 10 folds"
"cp_x_lez",-0.946815651288617,0.192915197651095,9.20393716646645e-07,-1.32492249075519,-0.568708811822044,"cross-fitting: 10 folds"
