"term","estimate","std.error","p.value","conf.low","conf.high","pct_effect","pct_conf.low","pct_conf.high"
"cp_active",-0.1692,0.1377,0.2193,-0.4391,0.1007,-15.56,-35.54,10.60
"lez_active",0.4602,0.1272,0.0002965,0.2109,0.7095,58.44,23.48,103.30
"cp_x_lez",-1.1108,0.1942,0.0000000106,-1.4914,-0.7303,-67.07,-77.49,-51.82
